description,length,rate
"Z zakupów w tej aptece jestem bardzo zadowolona i polecam wszystkim,ponieważ moje zamówienie zostało w całości zrealizowane i bez jakichkolwiek opóźnień.",153.0,1
"profesjonalnie, szybko i niezawodnie",36.0,1
Profesjonalna obsługa. Super szybka wysylka.,44.0,1
Profesjonalna obsługa. Szybka transakcja. Buciki piękne takie jak chciałam dla córeczki. Jednak opakowanie zostało uszkodzone i otwarte najprawdopodobniej podczas transportu. Na szczęście bucika nic się nie stało.,213.0,1
Jak zwykle expresowa przesyłka. Wszystko na + !,47.0,1
Rewelavjs. Zaryzykowalam rozmiar 37 chociaż inne buty tej firmy nosze raczej 38 i są dobre. Polecam !!,102.0,1
"Błyskawiczna dostawa, Nigdzie indziej tak nie ma",48.0,1
Jeszcze nie raz skorzystam z Państwa usług SUPER,48.0,1
"Profesjonalna obsługa,polecam w 100 %",37.0,1
Profesjonalna obsługa bardzo szybka dostawa.  Polecam w 100%,60.0,1
Błyskawicznie i bez żadnych problemów.,38.0,1
"Zawsze 100% zadowolenie z profesjonalnej, szybkiej obsługi sklepu!",66.0,1
Buty piękne ( niestety za duże).
Bardzo dobrze i szybko realizowane zamówienia,45.0,1
"Szybka wysyłka, sprawna i miła obsługa. Jestem zadowolona",57.0,1
"Błyskawiczna wysyłka, zwroty bez problemu. Polecam sklep.",57.0,1
"Świetny zakup, super cena, jakość +++",37.0,1
Polecam jakość obsługi a przedewszystkim szybkość realizacji zamówienia genialna.,81.0,1
"Bardzo solidne, rzeczowe i sumenne traktowanie klienta. Jestem zadowolona  z realizacji mojego zamówienia.",106.0,1

"Szybka realizacja zamówienia, przesyłka dobrze zapakowana, towar zgodny z opisem. Polecam",89.0,1
Polecam gorąco. Profesjonalna obsługa.,38.0,1
"wysyłka ekspresowa - praktycznie z dnia na dzień, zwroty również odbywają się bez żadnych problemów, zwrot gotówki na wskazane konto. Sklep polecam jak najbardziej! Będę kupować.",178.0,1
"POLECAM, BUTY ZGODNE Z ZAMÓWIENIEM, SZYBKA PRZESYŁKA",52.0,1
"Jak zwykle wszystko bezproblemowo, szybko i zgodnie z zamówieniem",65.0,1
"Wszystko w jak najlepszym porządku, błyskawiczna dostawa w mniej niż 24 godziny od złożenia zamówienia, dobrze opakowany produkty i same buty bardzo dobre jakościowo, wygodne i zgodne z opisami i zdjęciami na stronie internetowej. To już mój kolejny zakup w Eobuwie.pl i kolejny raz jestem bardzo zadowolona, tym bardziej że trafiłam na akcję rabatową i buty były tańsze niż zwykle. Bardzo polecam.",398.0,1
Rewelacyja wspolpraca.  Zachęcam  do zakupów,44.0,1
"Super, błyskawiczna dostawa, polecam.",37.0,1
"Tranzakcja ok,wystąpił tylko problem z kodem rabatowym , nie spostrzegłem momentu jego wprowadzenia i dokonałem zakupu bez rabatu.Może trzeba poprawić przejrzystość strony. Poza tym polecam.",190.0,1
"Sklep- jak zawsze- super! Błyskawiczna przesyłka, wszystko bezproblemowo. Świetny kontakt. Produkty zgodne z opisem.  Bardzo polecam!",133.0,1
"Super szybko, jestem bardzo zadowolona.",39.0,1
Bardzo duży wybór i bardzo szybka dostawa,41.0,1
Sklep na medal pełen profesjonalizm.,36.0,1
Transakcja przebiegła szybko i bardzo profesjonalnie :),55.0,1
"Szybka realizacja, bez problemów. Super gratis w postaci łyżki do butów.",72.0,1
Duży wybór asortymentu w każdy przedziale cenowym.  Super .,59.0,1
Serdecznie polecam!  Szybka dostawa! Błyskawicznie dostałam moje buciki!,72.0,1
Profesjonalna i szybka obsługa. Towar ekstraklasa.,50.0,1
"Transakcja przebiegła pomyślnie, jestem bardzo zadowolona.",58.0,1
"Profesjonalna obsługa, bieżące informacje nt. stanu realizacji zamówienia. Przesyłka dobrze zapakowana, dotarła bez uszkodzeń, czas realizacji zamówienia b. szybki. Zamówiłam dwie torebki - wielkość, kolor zgodne z opisem produktów. Niestety jedna z torebek ma drobne zadrapanie w skórze, a kupiłam ją na prezent i zastanawiam się, czy nie złożyć reklamacji.",358.0,1
sklep bardzo dobry i duzy wybor bardzo modnego i ladnego obuwia,63.0,1
"Duży wybór, darmowa przesyłka, jestem zadowolony z zakupów",58.0,1
"Bardzo szybka wysyłka,  bezproblemowe zwroty. Miła i rzetelna pomoc telefoniczna.",81.0,1
"Towar otrzymałem bardzo szybko, zgodny z moimi oczekiwaniami.",61.0,1
"Sklep jest bardzo OK, szybka wysyłka, w razie czego szybki zwrot pieniędzy itd.",79.0,1
"W tym sklepie kupuję już .... nawet nie pamiętam który raz. Wysyłka z tego sklepu jest ekspresowa, do tej pory obuwie czy torba zawsze odzwierciedlały zdjęcie z internetu. Moim zdaniem bardzo dobry sklep bez konieczności wychodzenia z domu.",240.0,1
"Duży wybór asortymentu, ,świetna obsługa, błyskawiczna dostawa.",63.0,1
"To moje drugie zakupy w sklepie eobuwie i znów jestem bardzo zadowolona, obsługa profesjonalna, przesyłka błyskawiczna, a buty super. Polecam!!!",144.0,1
"Wysyłka błyskawiczna, produkt dobrze zapakowany, polecam.",57.0,1
Zakupy w sklepie uważam za bardzo udane.,40.0,1
"Duży wybór, towar bardzo dobrze opisany (np. W przypadku torebek ważne informacje odnośnie koloru okucia, który nie zawsze jest jednoznaczny na zdjęciu), ekspresowa wysyłka.",173.0,1
Profesjonalna obsługa w każdym calu.,36.0,1
"Dobry kontakt, szybka dostawa, buty super...",44.0,1
Bardzo dobry sklep i fachowa obsługa!! ,39.0,1
"Mój ulubiony sklep obuwniczy, bardzo szybka wysyłka i duuuży wybór.",67.0,1
"Szybka, profesjonalna obsługa. Polecam wszystkim zapracowanym:)",63.0,1
"Miła, szybka i bezproblemowa obsługa. Polecam.",46.0,1
Super sklep. zdecydowanie polecam,33.0,1
"Kolejne udane zakupy, szybka i profesjonalna obsługa.",53.0,1
"Błyskawiczna wysyłka, wszystko sprawnie i bez problemu, polecam",63.0,1
Błyskawiczna realizacja zamówienia.Informacje o stanie zamówienia na bieżąco.
"Zakupy w porządku,  szybka dostawa.",35.0,1
Jestem bardzo zadowolona z zakupów .,36.0,1
wszystko w porządku a przesyłka ekspresowa,42.0,1
Jak zwykle eobuwia to sklep na medal! Na pewno wrócę tu nie raz!,64.0,1
"Bardzo polecam sklep.
"Sklep realizuje bardzo szybko zamówienie, buty otrzymałam wg zamówienia, Polecam ten sklep wszystkim",100.0,1
Bardzo szybka realizacja zamówienia,35.0,1
"sprawne zakupy i szybka wysyłka, ewentualne zwroty bez problemów",64.0,1
Towar bardzo dobrze zapakowany i zgodny z zamówieniem. Polecam!,63.0,1
"Błyskawiczna wysyłka, informacje o tym, co się dzieje z zamówieniem. Polecam wszystkim.",87.0,1
Po raz kolejny jestem bardzo zadowolona z zakupów w sklepie Eobuwie. Polecam!,77.0,1
"Bardzo miła i profesjonalna obsługa telefoniczna. 
Zamówienie zrealizowane bardzo pozytywnie.,42.0,1
"Zamówienie zrealizowane termonowo. Jedna para obuwia odpowiadająca w 100% wymaganoim , natomiast druda para za wąska i trochę odbiegająca od oczekiwań",150.0,1
"Szybka przesyłka, dobry kontakt. Polecam",40.0,1
"SZYBKI KONTAKT  PRZEZ E-MAILA, NATOMIAST DŁUGI CZAS OCZEKIWANIA NA PACZKĘ, WYSYŁKA W 24 H A WYSLANA BYŁA POZNIEJ",112.0,1
"Transakcja dokonana sprawnie. Szeroki wybór produktów na stronie. Przesyłka dotarła dobrze zapakowana w oryginalne pudełko, w załączeniu rachunek imienny, polecam! :)",166.0,1
"Ciekawy i różnorodny asortyment w szerokim spektrum cenowym,  szybka i profesjonalna obsługa. ..polecam",103.0,1
"zakupy w tym sklepie to sama przyjemność, prosto, szybko i konkretnie",69.0,1
Markowe produkty w dobrych cenach.,34.0,1
"pierwszy raz robiłam zakupy ale napewno nie ostatni , serdecznie polecam",72.0,1
"Fantastyczny! Swietny proces zakupowy, blyskawiczna wysylka. Jestem pod duzym wrazeniem.",88.0,1
"bez zastrzeżeń, jedynie co to szkoda że niewielkie kwotowo bony promocyjne można wykorzystywać dopiero przy całkiem sporych sumach. Plus za przejrzystość strony internetowej",173.0,1
Znakomity! Jak będę szukała kolejnej pary butów to tylko na tej stronie.Szybko i profesjonalnie.No i znakomity wybór .,118.0,1
Kolejny raz udało mi sie upolowac coś na przecenie. 
"Pozytywna,duży wybór i dobre ceny. Widać ,że zależy im na klientach.",68.0,1
"łatwe korzystanie z usług, dobra wyszukiwarka
Bardzo dobry sklep. Duży wybór pięknych butów dobrej jakości.,61.0,1
"profesjonalny, szybki, dobrze zaopatrzony",41.0,1
"eobuwie to niesamowity, perfekcyjny sklep .",43.0,1
"Bardzo miła obsługa, stały kontakt e-mailowy, dbałość o klienta i ogromny wybór butów dla dzieci i dorosłych.",109.0,1
B i b czyli błyskawicznie i bezproblemowo. Oby były jeszcze okazje do zakupów; (,80.0,1
"Duży wybór asortymentu, które często można znaleźć w bardzo okazyjnych cenach. Bardzo szybka realizacja zamówień, przesyłka wliczona w cenę towaru. W przypadku problemów zakupy można zwrócić na koszt sklepu (jeszcze nigdy nie musiałem). Oby więcej takich sklepów w rożnych liniach asortymentowych.",297.0,1
"Wszystko w jak najlepszym porządku! Szybka przesyłka, towar zabezpieczony przed uszkodzeniem. Opis na aukcji zgodny ze stanem faktycznym. Pełen profesjonalizm! Dziękuję i polecam!",179.0,1
"towar dobrej jakości w dobrych cenach, realizacja zamówień szybko i sprawnie, polecam",85.0,1
"Super przyjemne zakupy. Wyczerpujące informacje o produkcie, dobre zdjęcia, ekspresowa dostawa!",95.0,1
"Bardzo szybka wysyłka, towar idealnie zabezpieczony i zgodny z opisem :)",72.0,1
Jestem bardzo zadowolona. Błyskawiczna wysyłka. Bardzo dobrze zapakowana przesyłka.,83.0,1
"Najlepszy sklep internetowy z obuwiem.Zawsze szybko,bez problemów i miło. Kiedy robię zakupy,i muszę dokonać zwrotu cały proces przebiega bez problemów.Pełen profesjonalizm.Polecam w 100%!!!",190.0,1
"bardzo sprawne zakupy, szybki termin realizacji:)",49.0,1
"Bardzo szybka wysyłka, buciki super, ceny konkurencyjne, na pewno do Was wrócę, pozdrawiam i dziękuje Anita",107.0,1
"Bardzo dobra współpraca, łatwa obsługa,",39.0,1
Polecam! Profesjonalnie i zgodnie z opisem,42.0,1
Super sklep. Bardzo duży wybór butów.,37.0,1
"Jestem bardzo zadowolona z zakupów w tym sklepie. Szybko, profesjonalnie, miło. Towar bardzo dobrze zapakowany i zabezpieczony. Polecam",135.0,1
Atrakcyjne ceny i bardzo szybka wysyłka. Polecam!,49.0,1
"Sklep bardzo fajny,butki w 100 procentach takie jak na zdjęciach.
"bardzo profesjonalna i szybka obsługa, zakupy w tym sklepie to czysta przyjemność POLECAM!!!!!",94.0,1
Jestem zszokowana tak błyskawiczną dostawą!!!! Po południu wysłałam zamówienie- buciki przyszły następnego dnia do południa!!!!!,128.0,1
"To był mój drugi zakup w tym sklepie a właśnie czekam na kolejną parę butów. Świetnie zrobiona strona internetowa, doskonały kontakt i błyskawiczna przesyłka.",158.0,1
Wszystko w jak najlepszym porzadku. Zwrot i ponowna wysylka innego rozmiaru butow bez dosatkowych kosztow. Ogromny wybor butow. Dobry kontakt.,142.0,1
"Bardzo szybka realizacja, towar został zostal wysłany w dniu zamówienia, a buciki identyczne jak na zdjęciu, są śliczne i wygodnie, zamówienia 38 i pasuje ;)",157.0,1
"Sklep super ,godny  polecenia . Błyskawiczna wysyłka, towar super i rewelacyjny kontakt .Dziękuję za udane zakupy!!!",116.0,1
"Szybka wysyłka, towar zgodny z opisem, bezproblemowy i sprawny zwrot!Polecam!",77.0,1
"Szybko, sprawnie, bezproblemowo. Towar w 100% zgodny z opisem. Moja teściowa dla której były klapki jest bardzo zadowolona. Z największą przyjemnością polecam sklep eobuwie.pl:)",177.0,1
Polecam. Szybka realizacja zamówienia. Kontakt rewelacyjny. Zero zastrzeżeń co do sklepu. Polecam!,98.0,1
"Polecam. Szybka, miła i dobra obsługa.",38.0,1
"Przesyłka dotarła błyskawicznie, buty dobrze zapakowane i zgodne z opisem. Dzięki przejrzystej stronie zakupy robi się bardzo łatwo i przyjemnie.",145.0,1
"Szybka sprawna dostawa towaru. Obuwie wysokiej jakości ,",56.0,1
Polecam zakupy w sklepie internetowym Eobuwie.,46.0,1
- kontakt / informowanie nt przesyłki zakupionego towaru",162.0,1
SZYBKO FACHOWO PROFESJONALNIE POLECAM,37.0,1
Sklep godny zaufania. Przesyłki dostarczane są bardzo szybko. Bezproblemowe zwroty i zamiany. Ceny też konkurencyjne. Szczerze polecam!,135.0,1
z wymianą nie ma problemu. Obsługa profesjonalna. Serdecznie 
"Świetna, profesjonalna obsługa, rewelacyjnie szybka realizacja zamówienia. Polecam w 100%",89.0,1
0,0.0,0
"Rewelacja, super towar w ekstra cenie, szybka dostawa. Polecam wszystkim!",73.0,1
"Sklep godny polecenia. Realizacja zamówienia bardzo szybka, wymiana towaru po stwierdzeniu, że obuwie za duże bezproblemowa.",124.0,1
Sklep-extra!!!! szybko sprawnie uczciwie To chyba wystarczy by tutaj kupować Polecam !!!!,89.0,1
"Sklep godny polecenia, wszystko zgodne z informacją zawartą na stronie sklepu",77.0,1
"Sklep godny polecenia, zamówienie zgodne z opisem, realizacja natychmiastowa.",77.0,1
"Super apteka,bardzo dobre ceny,polecam.",39.0,1
Trochę dziwne bo w momencie odbioru przesyłki na mailu pojawiła się informacja o wysyłce ze sklepu,98.0,1
"Szybka wysyłka, produkt dobrze zapakowany. Produkty w niższych cenach. Polecam!",79.0,1
"Bardzo dobry sklep ,szybka realizacja ,bardzo miła obsługa klienta, jestem bardzo zadowolona ,na pewno będę korzystała jeszcze z usług tego sklepu.",147.0,1
"bardzo szybka realizacja zamówienia, polecam",44.0,1
"Dobre zaopatrzenie, szybka realizacja zamówienia.",49.0,1
"Wszystko sprawnie, szybko i bezproblemowo.
Jeszcze nigdy mnie nie zawiódł!,31.0,1
"Realizacja zamówienia poprawna i szybka, towar zapakowany bardzo dobrze - wszystko zgodnie z moimi oczekiwaniami.
"szybko,sprawnie, zgodnie z zamówieniem.",39.0,1
"Profesjonalna i bardzo szybka realizacja zamówienia ,w poniedziałek zakupy a w środę przyjechała paczka-dodam iż płatności dokonałam online",139.0,1
"Wszystko w jak najlepszym porzadku, mega duży asortyment ceny czasami powalają na kolana. Polecam!!! Zmartwiłem się tylko gdy po ostatnim zamówieniu nie dostałem obiecanego gratisu w postaci breloczka :( no ale o tak jestem mega zadowolony :D",242.0,1
"Doskonałe,produkty, szybka realizacja zamówienia polecam wszystkim",66.0,1
"Jakość pierwsza klasa :) szybka wysyłka, towar zgodny z opisem i co ważne dobrej jakości. Polecam bardzo gorąco!!! jest to firma która widać że się rozwija!!",157.0,1
"Świetna obsługa, natychmiastowy kontakt, wysyłka już następnego dnia, pomimo liczby zamówień szybka i rzetelna odpowiedź na zapytania, kolejny raz jestem bardzo zadowolony z zakupionego towaru oraz jakości obsługi.",214.0,1
"dobre produkty dobrze opisane,dostępność rozmiarów dobra jakość POLECAM!!!",74.0,1
"Wszystko zgodne z opisem, bardzo dobry kontakt i szybka dostawa zamówionego towaru",82.0,1
Polecam serdecznie! Super jakość w mega cenie! Bardzo szybka realizacja zamówienia! POLECAM!,92.0,1
"szybka wysyłka, towar zgodny z opisem",37.0,1
"Szybko, sprawnie i bezproblemowo. Sklep godny polecenia.",56.0,1
"Dwa minusy.
"pelen profesjonalizm
"Szybka wysyłka, produkt zgodny z opisem, dobra cena.",52.0,1
Wszystko na wysokim standardzie.,32.0,1
"Obsługa klienta zawsze służąca pomocą (dostępna również w formie czatu online). Produkty są dobrze opisane, wspaniałej jakości i w 100% zgodne z opisem. Szeroki wybór produktów jest kolejną zaletą. Przesyłka jest wysyłana błyskawicznie i zawsze starannie zapakowana. Przy zakupach istnieje także możliwość wybrania atrakcyjnego gratisu. Robiłam zakupy w sklepie SFD już kilkanaście razy i zawsze byłam całkowicie zadowolona. Gorąco polecam.",440.0,1
"Bogata oferta, błyskawiczna i rzetelna realizacja zamówienia. Sklep godny polecenia!",84.0,1
"wszystko wzorowo, paczka przyszła bardzo szybko, zgodnie z zamowieniem",70.0,1
0,0.0,0
"Transakcja przebiegła ekspresowo!
"sprawny, szybki, terminowy, polecam",35.0,1
Uważam że jest ok choć małe promocje dla stałych klientów!!!,60.0,1
Przesyłka dotarła błyskawicznie , ( kurier dzwonił aby umówić dogodna godzine odbioru )towar dobrze zabezpieczony a produkty z długa data ważności i w bardzo korzystnej cenie.
Szybko i sprawnie przeprowadzona transakcja. Bardzo szybka dostawa zamówionego towaru !,87.0,1
"mega szybka wysyłka, bezroblemowo :) wielki plus!",49.0,1
"Wszystko przebiegło tak jak należy ekspresowa wysyłka, towar cały bez uszkodzeń szczerze polecam ten sklep! ;)",110.0,1
Polecam paczka dotarła w ciagu 2 dni wszystko ok :),51.0,1
"Zakup bez problemu, zgodnie z opisem i zamówieniem. Polecam.",60.0,1
"Szybka wysyłka, dobrze zapakowane produkty, wysłane to, co miało być. A nie to co u jednej z konkurencyjnych firm (mającej w nazwie skrót aminokwasów rozgałęzionych): po raz drugi zamawiam i płacę, i ta sama sytuacja: czekam na przesyłkę, a za chwilę dostaję maila, że 3/4 zamówionych produktów nie ma. W SFD wszystko przebiega sprawnie i profesjonalnie, zdecydowanie polecam!",376.0,1
Transakcja przebiegła szybko i pomyślnie. Polecam!,50.0,1
Super sklep.Szybka wysyłka i towar zgodny z zamówieniem.Polecam.,64.0,1
Sklep polecam.",158.0,1
"Wszystko w porządku, polecam na 100 % :)",40.0,1
"bardzo dobry kontakt, szybka realizacja zamówienia",50.0,1
Bardzo fajny sklep polecam każdemu :),37.0,1
0,0.0,0
Kilka lat korzystam z ich sklepu i mogę polecić za profesjonalizm.,66.0,1
Bez zastrzeżeń.Rzetelna i szybka obsługa. Polecam !,51.0,1
"Wysyłka oraz info 100% pozytyw, natomiast co do produktu za krótko spożywam:)",77.0,1
0,0.0,0
 Gorąco polecam !",59.0,1
Wszystko wpożo. Szybko sprawnie bez problemu.,45.0,1
"Paczka przyszła bardzo szybko, dokładne poinformowanie o stanie przesyłki, wszystko dobrze zabezpieczone i zapakowane. Polecam!",127.0,1
"Bardzo szybko, bezproblemowo. Polecam !",39.0,1
"W aptece Gemini zamawiam czesto,distawa w ciagu dwoch dni.Produkty zapakowane szczelnie w folie bąbelkową.Informacja o realizowaniu zamowienia podawana na @.
Bardzo polecam ! Produkty dużo tańsze niż w stacjonarnej aptece ! Naprawdę się opłaca ,86.0,1
"szybko, sprawnie, bez jakichkolwiek problemów",45.0,1
"Najlepsza internetowa apteka. Szeroki wybór produktów, świartna ceny i błyskawiczna dostawa",91.0,1
Sprzedawca godny polecenia. Wszystko w porządku.,48.0,1
"Bardzo dobra apteka, korzystne ceny. Polecam",44.0,1
Sprawna szybka wysyłka. Bez zastrzeżeń,38.0,1
Transakcja ok. Kontakt ok. Szybka realizacja.,45.0,1
Bardzo przystępne ceny. tym razem niestety przesyłka nie była błyskawiczna,74.0,1
"Było to już 17 zamówienie i za każdym razem moja opinia jest nienaganna. Szybko, sprawnie i relatywnie tanio. Kurierzy UPS bez zarzutu.",135.0,1
Apteka posiada konkurencyjne ceny.,34.0,1
super szybko.iNFORMACJA OWYSYŁCE,32.0,1
"Sklep, jak najbardziej, godny polecenia! Ceny konkurencyjne względem stacjonarnej apteki Gemini.",96.0,1
Bardzo dobra apteka z dobrymi cenami i szybką wysyłką.,54.0,1
"Bezproblemowe zakupy, szybka dostawa, doskonałe opakowanie. Sklep godny polecenia",81.0,1
Przesyłka na czas w bardzo dobrym stanie.,41.0,1
"Kupuje w tym sklepie juz dwa lata i zawsze jestem zadowolona z produktow, przesylki i oczywiscie ceny! Polecam!",111.0,1
"Duzy wybor, szybka wysylka, polecam!",36.0,1
przystępne ceny szybka realizacja zamówienia ogólnie pozytywna. PS parę produktów było jakby w jakimś kremie czy oliwce tłuste,126.0,1
Kurierem z Gdańska zdecydowanie szybko.,39.0,1
"Bardzo pozytywnie oceniam transakcje. Dobre ceny, szybka bezproblemowa dostawa.",79.0,1
Rewelacja! Szybka przesyłka! Towar zgodny z opisem.Polecam!!,60.0,1
Szybka dostawa i tańsze lekarstwa.,34.0,1
"Oby tak dalej.
"Bardzo udane zakupy. Towar dostarczony expresowo, w super cenie i porządnie zabezpieczony. Klasa!",97.0,1
wszystko dostarczone w terminie,31.0,1
Jak zwykle wszystko w porządku ,31.0,1
Jestem bardzo zadowolona z zakupów e aptece gemini szybka dostawa oraz długie daty ważności leków polecam,105.0,1
"Wszystko super, apteka godna polecenia, bogaty asortyment, przystępne ceny, szybka dostawa.",91.0,1
Polecam wszystkim, którzy używają podobnych kosmetyków, bo można je kupić w niemal hurtowej cenie.",565.0,1
Szybka realizacja zamówienia. Polecam!,38.0,1
"Wszystko zgodnie z zamówieniem przesyłka dotarła szybko, jak najbardziej polecam",80.0,1
Jako jedna z nielicznych aptek internetowych mają bardzo szeroki asortyment (lekarstw) dlatego też najczęściej robię tutaj zakupy (zapasy) lekarstw. Szczerze polecam tę aptekę - ja się jeszcze na niej nie zawiodłam ;-).,219.0,1
Jestem bardzo zadowolona z obsługi sklepu i produktów :-),57.0,1
Przesyłka szybka, wszystko zapakowane idealnie.
"Szybka i profesjonalna obsługa, wszystkie produkty zamówione bardzo dobrze zapakowane (nic nie uszkodzone). POLECAM !",117.0,1
polecam!",32.0,1
Transakcja przebiegła pomyślnie,31.0,1
"Wszystko sprawnie, terminowo, zgodnie z zamowieniem. Polecam",60.0,1
"Bardzo fajna apteka, tanio, szybka realizacja zamowien.",55.0,1
"Z oferty Gemini korzystałam już wielokrotnie, zawsze byłam zadowolona.",70.0,1
"Polecam. Szybko, sprawnie, tanio.",33.0,1
"Bardzo lubię robić zakupy w aptece gemini. W stosunku do innych aptek mają niższe ceny , także czas realizacji zamówienia jest bardzo szybki .",142.0,1
"Sklep godny polecenia, szybka transakcja.",41.0,1
