description,rate
 "Szybka realizacja zamówienia  przesyłka dobrze zapakowana  towar zgodny z opisem. Polecam,1
Polecam gorąco. Profesjonalna obsługa.,1
wysyłka ekspresowa - praktycznie z dnia na dzień  zwroty również odbywają się bez żadnych problemów  zwrot gotówki na wskazane konto. Sklep polecam jak najbardziej! Będę kupować.,1
POLECAM  BUTY ZGODNE Z ZAMÓWIENIEM  SZYBKA PRZESYŁKA,1
Jak zwykle wszystko bezproblemowo  szybko i zgodnie z zamówieniem,1
Wszystko w jak najlepszym porządku  błyskawiczna dostawa w mniej niż 24 godziny od złożenia zamówienia  dobrze opakowany produkty i same buty bardzo dobre jakościowo  wygodne i zgodne z opisami i zdjęciami na stronie internetowej. To już mój kolejny zakup w Eobuwie.pl i kolejny raz jestem bardzo zadowolona  tym bardziej że trafiłam na akcję rabatową i buty były tańsze niż zwykle. Bardzo polecam.,1
Rewelacyja wspolpraca. Zachęcam do zakupów,1
Super  błyskawiczna dostawa  polecam.,1
Tranzakcja ok wystąpił tylko problem z kodem rabatowym   nie spostrzegłem momentu jego wprowadzenia i dokonałem zakupu bez rabatu.Może trzeba poprawić przejrzystość strony. Poza tym polecam.,1
Sklep- jak zawsze- super! Błyskawiczna przesyłka  wszystko bezproblemowo. Świetny kontakt. Produkty zgodne z opisem. Bardzo polecam!,1
Super szybko  jestem bardzo zadowolona.,1
Bardzo duży wybór i bardzo szybka dostawa,1
Sklep na medal pełen profesjonalizm.,1
Transakcja przebiegła szybko i bardzo profesjonalnie :),1
Szybka realizacja  bez problemów. Super gratis w postaci łyżki do butów.,1
Duży wybór asortymentu w każdy przedziale cenowym. Super .,1
Serdecznie polecam! Szybka dostawa! Błyskawicznie dostałam moje buciki!,1
Profesjonalna i szybka obsługa. Towar ekstraklasa.,1
Transakcja przebiegła pomyślnie  jestem bardzo zadowolona.,1
Profesjonalna obsługa  bieżące informacje nt. stanu realizacji zamówienia. Przesyłka dobrze zapakowana  dotarła bez uszkodzeń  czas realizacji zamówienia b. szybki. Zamówiłam dwie torebki - wielkość  kolor zgodne z opisem produktów. Niestety jedna z torebek ma drobne zadrapanie w skórze  a kupiłam ją na prezent i zastanawiam się  czy nie złożyć reklamacji.,1
sklep bardzo dobry i duzy wybor bardzo modnego i ladnego obuwia,1
Duży wybór  darmowa przesyłka  jestem zadowolony z zakupów,1
Bardzo szybka wysyłka  bezproblemowe zwroty. Miła i rzetelna pomoc telefoniczna.,1
Towar otrzymałem bardzo szybko  zgodny z moimi oczekiwaniami.,1
Sklep jest bardzo OK  szybka wysyłka  w razie czego szybki zwrot pieniędzy itd.,1
W tym sklepie kupuję już .... nawet nie pamiętam który raz. Wysyłka z tego sklepu jest ekspresowa  do tej pory obuwie czy torba zawsze odzwierciedlały zdjęcie z internetu. Moim zdaniem bardzo dobry sklep bez konieczności wychodzenia z domu.,1
Duży wybór asortymentu   świetna obsługa  błyskawiczna dostawa.,1
To moje drugie zakupy w sklepie eobuwie i znów jestem bardzo zadowolona  obsługa profesjonalna  przesyłka błyskawiczna  a buty super. Polecam!!!,1
Wysyłka błyskawiczna  produkt dobrze zapakowany  polecam.,1
Zakupy w sklepie uważam za bardzo udane.,1
Duży wybór  towar bardzo dobrze opisany (np. W przypadku torebek ważne informacje odnośnie koloru okucia  który nie zawsze jest jednoznaczny na zdjęciu)  ekspresowa wysyłka.,1
Profesjonalna obsługa w każdym calu.,1
Dobry kontakt  szybka dostawa  buty super...,1
Bardzo dobry sklep i fachowa obsługa!! ,1
Mój ulubiony sklep obuwniczy  bardzo szybka wysyłka i duuuży wybór.,1
Szybka  profesjonalna obsługa. Polecam wszystkim zapracowanym:),1
Miła  szybka i bezproblemowa obsługa. Polecam.,1
Super sklep. zdecydowanie polecam,1
Kolejne udane zakupy  szybka i profesjonalna obsługa.,1
Błyskawiczna wysyłka  wszystko sprawnie i bez problemu  polecam,1
Błyskawiczna realizacja zamówienia.Informacje o stanie zamówienia na bieżąco."Zakupy w porządku  szybka dostawa.,1
Jestem bardzo zadowolona z zakupów .,1
wszystko w porządku a przesyłka ekspresowa,1
Jak zwykle eobuwia to sklep na medal! Na pewno wrócę tu nie raz!,1
Bardzo polecam sklep."Sklep realizuje bardzo szybko zamówienie  buty otrzymałam wg zamówienia  Polecam ten sklep wszystkim,1
Bardzo szybka realizacja zamówienia,1
sprawne zakupy i szybka wysyłka  ewentualne zwroty bez problemów,1
Towar bardzo dobrze zapakowany i zgodny z zamówieniem. Polecam!,1
Błyskawiczna wysyłka  informacje o tym  co się dzieje z zamówieniem. Polecam wszystkim.,1
Po raz kolejny jestem bardzo zadowolona z zakupów w sklepie Eobuwie. Polecam!,1
Bardzo miła i profesjonalna obsługa telefoniczna. Zamówienie zrealizowane bardzo pozytywnie.,1
Zamówienie zrealizowane termonowo. Jedna para obuwia odpowiadająca w 100% wymaganoim   natomiast druda para za wąska i trochę odbiegająca od oczekiwań,1
Szybka przesyłka  dobry kontakt. Polecam,1
SZYBKI KONTAKT PRZEZ E-MAILA  NATOMIAST DŁUGI CZAS OCZEKIWANIA NA PACZKĘ  WYSYŁKA W 24 H A WYSLANA BYŁA POZNIEJ,1
Transakcja dokonana sprawnie. Szeroki wybór produktów na stronie. Przesyłka dotarła dobrze zapakowana w oryginalne pudełko  w załączeniu rachunek imienny  polecam! :),1
Ciekawy i różnorodny asortyment w szerokim spektrum cenowym  szybka i profesjonalna obsługa. ..polecam,1
zakupy w tym sklepie to sama przyjemność  prosto  szybko i konkretnie,1
Markowe produkty w dobrych cenach.,1
pierwszy raz robiłam zakupy ale napewno nie ostatni   serdecznie polecam,1
Fantastyczny! Swietny proces zakupowy  blyskawiczna wysylka. Jestem pod duzym wrazeniem.,1
bez zastrzeżeń  jedynie co to szkoda że niewielkie kwotowo bony promocyjne można wykorzystywać dopiero przy całkiem sporych sumach. Plus za przejrzystość strony internetowej,1
Znakomity! Jak będę szukała kolejnej pary butów to tylko na tej stronie.Szybko i profesjonalnie.No i znakomity wybór .,1
Kolejny raz udało mi sie upolowac coś na przecenie. "Pozytywna duży wybór i dobre ceny. Widać  że zależy im na klientach.,1
łatwe korzystanie z usług  dobra wyszukiwarkaBardzo dobry sklep. Duży wybór pięknych butów dobrej jakości.,1
profesjonalny  szybki  dobrze zaopatrzony,1
eobuwie to niesamowity  perfekcyjny sklep .,1
Bardzo miła obsługa  stały kontakt e-mailowy  dbałość o klienta i ogromny wybór butów dla dzieci i dorosłych.,1
B i b czyli błyskawicznie i bezproblemowo. Oby były jeszcze okazje do zakupów; (,1
Duży wybór asortymentu  które często można znaleźć w bardzo okazyjnych cenach. Bardzo szybka realizacja zamówień  przesyłka wliczona w cenę towaru. W przypadku problemów zakupy można zwrócić na koszt sklepu (jeszcze nigdy nie musiałem). Oby więcej takich sklepów w rożnych liniach asortymentowych.,1
Wszystko w jak najlepszym porządku! Szybka przesyłka  towar zabezpieczony przed uszkodzeniem. Opis na aukcji zgodny ze stanem faktycznym. Pełen profesjonalizm! Dziękuję i polecam!,1
towar dobrej jakości w dobrych cenach  realizacja zamówień szybko i sprawnie  polecam,1
Super przyjemne zakupy. Wyczerpujące informacje o produkcie  dobre zdjęcia  ekspresowa dostawa!,1
Bardzo szybka wysyłka  towar idealnie zabezpieczony i zgodny z opisem :),1
Jestem bardzo zadowolona. Błyskawiczna wysyłka. Bardzo dobrze zapakowana przesyłka.,1
Najlepszy sklep internetowy z obuwiem.Zawsze szybko bez problemów i miło. Kiedy robię zakupy i muszę dokonać zwrotu cały proces przebiega bez problemów.Pełen profesjonalizm.Polecam w 100%!!!,1
bardzo sprawne zakupy  szybki termin realizacji:),1
Bardzo szybka wysyłka  buciki super  ceny konkurencyjne  na pewno do Was wrócę  pozdrawiam i dziękuje Anita,1
Bardzo dobra współpraca  łatwa obsługa ,1
Polecam! Profesjonalnie i zgodnie z opisem,1
Super sklep. Bardzo duży wybór butów.,1
Jestem bardzo zadowolona z zakupów w tym sklepie. Szybko  profesjonalnie  miło. Towar bardzo dobrze zapakowany i zabezpieczony. Polecam,1
Atrakcyjne ceny i bardzo szybka wysyłka. Polecam!,1
Sklep bardzo fajny butki w 100 procentach takie jak na zdjęciach."bardzo profesjonalna i szybka obsługa  zakupy w tym sklepie to czysta przyjemność POLECAM!!!!!,1
Jestem zszokowana tak błyskawiczną dostawą!!!! Po południu wysłałam zamówienie- buciki przyszły następnego dnia do południa!!!!!,1
To był mój drugi zakup w tym sklepie a właśnie czekam na kolejną parę butów. Świetnie zrobiona strona internetowa  doskonały kontakt i błyskawiczna przesyłka.,1
Wszystko w jak najlepszym porzadku. Zwrot i ponowna wysylka innego rozmiaru butow bez dosatkowych kosztow. Ogromny wybor butow. Dobry kontakt.,1
Bardzo szybka realizacja  towar został zostal wysłany w dniu zamówienia  a buciki identyczne jak na zdjęciu  są śliczne i wygodnie  zamówienia 38 i pasuje ;),1
Sklep super  godny polecenia . Błyskawiczna wysyłka  towar super i rewelacyjny kontakt .Dziękuję za udane zakupy!!!,1
Szybka wysyłka  towar zgodny z opisem  bezproblemowy i sprawny zwrot!Polecam!,1
Szybko  sprawnie  bezproblemowo. Towar w 100% zgodny z opisem. Moja teściowa dla której były klapki jest bardzo zadowolona. Z największą przyjemnością polecam sklep eobuwie.pl:),1
Polecam. Szybka realizacja zamówienia. Kontakt rewelacyjny. Zero zastrzeżeń co do sklepu. Polecam!,1
Polecam. Szybka  miła i dobra obsługa.,1
Przesyłka dotarła błyskawicznie  buty dobrze zapakowane i zgodne z opisem. Dzięki przejrzystej stronie zakupy robi się bardzo łatwo i przyjemnie.,1
Szybka sprawna dostawa towaru. Obuwie wysokiej jakości  ,1
Polecam zakupy w sklepie internetowym Eobuwie.,1
- kontakt / informowanie nt przesyłki zakupionego towaru,1
SZYBKO FACHOWO PROFESJONALNIE POLECAM,1
Sklep godny zaufania. Przesyłki dostarczane są bardzo szybko. Bezproblemowe zwroty i zamiany. Ceny też konkurencyjne. Szczerze polecam!,1
z wymianą nie ma problemu. Obsługa profesjonalna. Serdecznie "Świetna  profesjonalna obsługa  rewelacyjnie szybka realizacja zamówienia. Polecam w 100%,1
0,0
Rewelacja  super towar w ekstra cenie  szybka dostawa. Polecam wszystkim!,1
Sklep godny polecenia. Realizacja zamówienia bardzo szybka  wymiana towaru po stwierdzeniu  że obuwie za duże bezproblemowa.,1
Sklep-extra!!!! szybko sprawnie uczciwie To chyba wystarczy by tutaj kupować Polecam !!!!,1
Sklep godny polecenia  wszystko zgodne z informacją zawartą na stronie sklepu,1
Sklep godny polecenia  zamówienie zgodne z opisem  realizacja natychmiastowa.,1
Super apteka bardzo dobre ceny polecam.,1
Trochę dziwne bo w momencie odbioru przesyłki na mailu pojawiła się informacja o wysyłce ze sklepu,1
Szybka wysyłka  produkt dobrze zapakowany. Produkty w niższych cenach. Polecam!,1
Bardzo dobry sklep  szybka realizacja  bardzo miła obsługa klienta  jestem bardzo zadowolona  na pewno będę korzystała jeszcze z usług tego sklepu.,1
bardzo szybka realizacja zamówienia  polecam,1
Dobre zaopatrzenie  szybka realizacja zamówienia.,1
Wszystko sprawnie  szybko i bezproblemowo.Jeszcze nigdy mnie nie zawiódł!,1
Realizacja zamówienia poprawna i szybka  towar zapakowany bardzo dobrze - wszystko zgodnie z moimi oczekiwaniami."szybko sprawnie  zgodnie z zamówieniem.,1
Profesjonalna i bardzo szybka realizacja zamówienia  w poniedziałek zakupy a w środę przyjechała paczka-dodam iż płatności dokonałam online,1
Wszystko w jak najlepszym porzadku  mega duży asortyment ceny czasami powalają na kolana. Polecam!!! Zmartwiłem się tylko gdy po ostatnim zamówieniu nie dostałem obiecanego gratisu w postaci breloczka :( no ale o tak jestem mega zadowolony :D,1
Doskonałe produkty  szybka realizacja zamówienia polecam wszystkim,1
Jakość pierwsza klasa :) szybka wysyłka  towar zgodny z opisem i co ważne dobrej jakości. Polecam bardzo gorąco!!! jest to firma która widać że się rozwija!!,1
Świetna obsługa  natychmiastowy kontakt  wysyłka już następnego dnia  pomimo liczby zamówień szybka i rzetelna odpowiedź na zapytania  kolejny raz jestem bardzo zadowolony z zakupionego towaru oraz jakości obsługi.,1
dobre produkty dobrze opisane dostępność rozmiarów dobra jakość POLECAM!!!,1
Wszystko zgodne z opisem  bardzo dobry kontakt i szybka dostawa zamówionego towaru,1
Polecam serdecznie! Super jakość w mega cenie! Bardzo szybka realizacja zamówienia! POLECAM!,1
szybka wysyłka  towar zgodny z opisem,1
Szybko  sprawnie i bezproblemowo. Sklep godny polecenia.,1
Dwa minusy."pelen profesjonalizm"Szybka wysyłka  produkt zgodny z opisem  dobra cena.,1
Wszystko na wysokim standardzie.,1
Obsługa klienta zawsze służąca pomocą (dostępna również w formie czatu online). Produkty są dobrze opisane  wspaniałej jakości i w 100% zgodne z opisem. Szeroki wybór produktów jest kolejną zaletą. Przesyłka jest wysyłana błyskawicznie i zawsze starannie zapakowana. Przy zakupach istnieje także możliwość wybrania atrakcyjnego gratisu. Robiłam zakupy w sklepie SFD już kilkanaście razy i zawsze byłam całkowicie zadowolona. Gorąco polecam.,1
Bogata oferta  błyskawiczna i rzetelna realizacja zamówienia. Sklep godny polecenia!,1
wszystko wzorowo  paczka przyszła bardzo szybko  zgodnie z zamowieniem,1
0,0
Transakcja przebiegła ekspresowo!"sprawny  szybki  terminowy  polecam,1
Uważam że jest ok choć małe promocje dla stałych klientów!!!,1
Przesyłka dotarła błyskawicznie   ( kurier dzwonił aby umówić dogodna godzine odbioru )towar dobrze zabezpieczony a produkty z długa data ważności i w bardzo korzystnej cenie.Szybko i sprawnie przeprowadzona transakcja. Bardzo szybka dostawa zamówionego towaru !,1
mega szybka wysyłka  bezroblemowo :) wielki plus!,1
Wszystko przebiegło tak jak należy ekspresowa wysyłka  towar cały bez uszkodzeń szczerze polecam ten sklep! ;),1
Polecam paczka dotarła w ciagu 2 dni wszystko ok :),1
Zakup bez problemu  zgodnie z opisem i zamówieniem. Polecam.,1
Szybka wysyłka  dobrze zapakowane produkty  wysłane to  co miało być. A nie to co u jednej z konkurencyjnych firm (mającej w nazwie skrót aminokwasów rozgałęzionych): po raz drugi zamawiam i płacę  i ta sama sytuacja: czekam na przesyłkę  a za chwilę dostaję maila  że 3/4 zamówionych produktów nie ma. W SFD wszystko przebiega sprawnie i profesjonalnie  zdecydowanie polecam!,1
Transakcja przebiegła szybko i pomyślnie. Polecam!,1
Super sklep.Szybka wysyłka i towar zgodny z zamówieniem.Polecam.,1
Sklep polecam.,1
Wszystko w porządku  polecam na 100 % :),1
bardzo dobry kontakt  szybka realizacja zamówienia,1
Bardzo fajny sklep polecam każdemu :),1
0,0
Kilka lat korzystam z ich sklepu i mogę polecić za profesjonalizm.,1
Bez zastrzeżeń.Rzetelna i szybka obsługa. Polecam !,1
Wysyłka oraz info 100% pozytyw  natomiast co do produktu za krótko spożywam:),1
0,0
 Gorąco polecam !,1
Wszystko wpożo. Szybko sprawnie bez problemu.,1
Paczka przyszła bardzo szybko  dokładne poinformowanie o stanie przesyłki  wszystko dobrze zabezpieczone i zapakowane. Polecam!,1
Bardzo szybko  bezproblemowo. Polecam !,1
W aptece Gemini zamawiam czesto distawa w ciagu dwoch dni.Produkty zapakowane szczelnie w folie bąbelkową.Informacja o realizowaniu zamowienia podawana na @.Bardzo polecam ! Produkty dużo tańsze niż w stacjonarnej aptece ! Naprawdę się opłaca ,1
szybko  sprawnie  bez jakichkolwiek problemów,1
Najlepsza internetowa apteka. Szeroki wybór produktów  świartna ceny i błyskawiczna dostawa,1
Sprzedawca godny polecenia. Wszystko w porządku.,1
Bardzo dobra apteka  korzystne ceny. Polecam,1
Sprawna szybka wysyłka. Bez zastrzeżeń,1
Transakcja ok. Kontakt ok. Szybka realizacja.,1
Bardzo przystępne ceny. tym razem niestety przesyłka nie była błyskawiczna,1
Było to już 17 zamówienie i za każdym razem moja opinia jest nienaganna. Szybko  sprawnie i relatywnie tanio. Kurierzy UPS bez zarzutu.,1
Apteka posiada konkurencyjne ceny.,1
super szybko.iNFORMACJA OWYSYŁCE,1
Sklep  jak najbardziej  godny polecenia! Ceny konkurencyjne względem stacjonarnej apteki Gemini.,1
Bardzo dobra apteka z dobrymi cenami i szybką wysyłką.,1
Bezproblemowe zakupy  szybka dostawa  doskonałe opakowanie. Sklep godny polecenia,1
Przesyłka na czas w bardzo dobrym stanie.,1
Kupuje w tym sklepie juz dwa lata i zawsze jestem zadowolona z produktow  przesylki i oczywiscie ceny! Polecam!,1
Duzy wybor  szybka wysylka  polecam!,1
przystępne ceny szybka realizacja zamówienia ogólnie pozytywna. PS parę produktów było jakby w jakimś kremie czy oliwce tłuste,1
Kurierem z Gdańska zdecydowanie szybko.,1
Bardzo pozytywnie oceniam transakcje. Dobre ceny  szybka bezproblemowa dostawa.,1
Rewelacja! Szybka przesyłka! Towar zgodny z opisem.Polecam!!,1
Szybka dostawa i tańsze lekarstwa.,1
Oby tak dalej."Bardzo udane zakupy. Towar dostarczony expresowo  w super cenie i porządnie zabezpieczony. Klasa!,1
wszystko dostarczone w terminie,1
Jak zwykle wszystko w porządku ,1
Jestem bardzo zadowolona z zakupów e aptece gemini szybka dostawa oraz długie daty ważności leków polecam,1
Wszystko super  apteka godna polecenia  bogaty asortyment  przystępne ceny  szybka dostawa.,1
Polecam wszystkim  którzy używają podobnych kosmetyków  bo można je kupić w niemal hurtowej cenie.,1
Szybka realizacja zamówienia. Polecam!,1
Wszystko zgodnie z zamówieniem przesyłka dotarła szybko  jak najbardziej polecam,1
Jako jedna z nielicznych aptek internetowych mają bardzo szeroki asortyment (lekarstw) dlatego też najczęściej robię tutaj zakupy (zapasy) lekarstw. Szczerze polecam tę aptekę - ja się jeszcze na niej nie zawiodłam ;-).,1
Jestem bardzo zadowolona z obsługi sklepu i produktów :-),1
Przesyłka szybka  wszystko zapakowane idealnie."Szybka i profesjonalna obsługa  wszystkie produkty zamówione bardzo dobrze zapakowane (nic nie uszkodzone). POLECAM !,1
polecam!,1
Transakcja przebiegła pomyślnie,1
Wszystko sprawnie  terminowo  zgodnie z zamowieniem. Polecam,1
Bardzo fajna apteka  tanio  szybka realizacja zamowien.,1
Z oferty Gemini korzystałam już wielokrotnie  zawsze byłam zadowolona.,1
Polecam. Szybko  sprawnie  tanio.,1
Bardzo lubię robić zakupy w aptece gemini. W stosunku do innych aptek mają niższe ceny   także czas realizacji zamówienia jest bardzo szybki .,1
Sklep godny polecenia  szybka transakcja.,1
Obsługa sprawna  szybka  polecam.,1
Obsługa błyskawiczna nie wymagająca dodatkowych dopytywani  wszystko przejrzyste i jasne.,1
Najlepszy sklep pod słońcem szybka wysyłka  towar bardzo dobrze zapakowany.,1
Szybko i bardzo profesjonalnie polecam,1
Jak zawsze sprawnie  solidnie  szybko  polecam.,1
Jak zawsze wszystko szybko  sprawnie  a produkty oryginalne  dobrze zapakowane. Polecam.,1
ok ale długo czekałam za wysyłką,1
Ceny sa faktycznie atrakcyjne ale czekałam na przesyłkę dokładnie 8 dni od dokonania przelewu.Co zdecydowanie za długo wiec i tak musiałam kupic w innej aptece rzeczy które zamówiłam.,-1
Szeroki asortyment. Atrakcyjne ceny.,1
Super  godny polecenia. Szybka realizacja.,1
Sklep niewątpliwie jest konkurencyjny finansowo do stacjonarnych aptek.,1
Polecam sklep. Pełen profesjonalizm. Szybka realizacja.,1
Towar zgodny z zamówieniem - zapakowany bardzo dobrze. Czas oczekiwania na przesyłkę po wpłacie na konto mógłby być szybszy.,1
Duży wybór leków i kosmetyków  przystępne ceny. Polecam!!!,1
Szybka przesyłka  tanie leki polecam,1
Transakcja udana. Realizacja bez zastrzeżeń,1
Wszystko OK  tylko czemu podmieniono mi niektóre towary w stałym moim koszyku na droższe?,1
polecam  towar zgodny z opisem  szybka wysyłka.,1
Najlepsza apteka najniższe ceny szybka realizacja zamówienia.,1
Polecam aptekę  korzystne ceny i szybka dostawa to dwa największe atuty,1
Adres Panstwa dostalam od znajomego przy okazji rozmowy o leku  ktory oboje przyjmujemy. Uważam  że duzo czasu poswiecilam na ankiete i nie chcialabym byc zmuszana do oceniania ludzi. Nie czuje sie kompetentna. Za towar dziekuję. Jestem tylko klientką. Zaplacilam  nie zostalam oszukana  wiecej nic nie oczekuję.Jestem bardzo zadowolona z tej internetowej apteki. Świetne ceny i super produkty. Gorąco Polecam!!,1
tym razem trochę długi termin realizacji zamówienie w środę a przesyłka dostarczona we wtorek przy wyborze kuriera. Jedyny minus to czas oczekiwania na paczke... Nie jest tragiczny ale szybkoscia tez nie grzeszy ;-),1
Bardzo dobra jakosc  ceny  obsluga i zapakowanie. Troche dlugo czekalam tym razem na przesylke.,1
Zakupiłam wyprawkę pielęgnacyjną dla mnie córki- wszystko w naprawdę przystępnej cenie  świetnej jakości  paczka rewelacyjnie zapakowana  przesyłka dotarła szybko. Polecam!,1
Szeroki asortyment  ceny bardzo konkurencyjne  produkty dobrze zabezpieczone na czas przesyłki  obsługa klienta na wysokim poziome. Polecam każdemu :),1
obsługa klienta zasługuje na najwyższą notę,1
